,Dialogue
799,"Because I'm friends with her doesn't
"
800,"make me any less friends with you.
"
801,"You're my...
"
802,"And we're...
"
803,"- Oh, I love you!
"
804,"- I love you too!
"
805,"You guys, I know that this really
"
806,"doesn't have anything to do with me.
"
807,"But I love you guys too!
"
808,"I really needed that.
"
809,"I know that right now...
"
810,"...you really need
"
811,"to hate Julie's guts.
"
812,"But she didn't do anything wrong.
"
813,"She's just a girl who met a guy,
"
814,"and now they go out.
"
815,"I think that if you gave her
"
816,"a chance, you'd like her.
"
817,"Will you give it a chance?
"
818,"For me?
"
819,"I'd do anything for you,
"
820,"you know that.
"
821,"I'd do anything for you!
"
822,"Wait, wait, wait!
"
823,"Mornin'.
"
824,"I said, mornin'!
"
825,"I heard you.
"
826,"All right, everybody.
"
827,"I'm opening the doors.
"
828,"You boys ready?
"
829,"Ready.
"
830,"Yeah, I'm ready.
"
831,"You idiot! You stupid cowboy!
"
832,"You've blinded me! I'm suing!
"
833,"Oh, my God! Todd!
"
834,"What the hell did you do?
"
835,"Sorry. I'm such a doofus!
"
836,"I'm so sorry. I'm so sorry.
"
837,"My God, what happened?
"
838,"These new kids, they never last.
"
839,"Sooner or later they all...
"
840,"...stop lasting.
"
841,"What do you say I buy you
"
842,"that cup of coffee now?
"
843,"Sure.
"
844,"I just thought we should hang out.
"
845,"I mean, you know,
"
846,"we've never really talked.
"
847,"I guess you'd know that,
"
848,"being one of the two of us.
"
849,"I know.
"
850,"I probably shouldn't
"
851,"even tell you this...
"
852,"...but I'm pretty much
"
853,"totally intimidated by you.
"
854,"Really?
"
855,"Me?
"
856,"Oh, my God, are you kidding?
"
857,"Ross is so crazy about you...
"
858,"...and I really wanted you
"
859,"to like me, and I...
"
860,"It's probably me just
"
861,"being totally paranoid...
"
862,"...but I kind of got the feeling
"
863,"that maybe you don't.
"
864,"Well, you're not totally paranoid.
"
865,"When you and Ross
"
866,"first started going out...
"
867,"...it was really hard for me...
"
868,"...for many reasons of which
"
